,Apis mellifera,Atrichopogon yamabukiensis,Cardiophorus sp.1,Cecidomyiidae sp.1,Celama sp.1,Cephonodes tamsi,Chaetonerius alluaudii,Chironomus sp.,Chloropidae sp.1,Cinnyris dussumieri,Coleoptera sp.1,Coleoptera sp.3,Cossonini sp.2,Cratopus aurostriatus,Cryptorhynchidius graniger,Dasyhelea tamsi,Delta alluaudi,Dermestidae sp.1,Dichaetomyia fasciculifera,Elateridae sp.2,Endotricha mesenterialis,Forcipomyia sp.1,Forcipomyia amieuensis sp.2,Forcipomyia litoraurea sp.2,Geron seychellarum,Hemipyrellia germana,Herpetogramma sp.1,Hymenoptera sp.1,Lasioglossum mahense,Lobosciara bilotata,Lygistorrhina sp.,Mordellistena coleae,Musca domestica,Nola sp.1,Ornidia obesa,Pachycerina seychellensis,Phelsuma sp.,Physiphora azurea,Ptinidae sp.1,Pyralidae sp.1,Rhiparida seychellensis,Scaptodrosophila sp.1,Scaptodrosophila sp.2,Sciaridae sp.1,Simosyrphus aegyptius,Smitta mahensis,Tricimba seychellensis
Alstonia macrophylla,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphloia theiformis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinnamomum verum,32,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Erythroxylum sechellarum,76,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,20,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Excoecaria benthamiana,16,0,0,0,0,0,0,1,1,0,0,2,0,1,0,9,0,0,0,0,0,1,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ixora pudica,7,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Memecylon elaeagni,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mimusops sechellarum,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepenthes pervillei,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Nephrosperma vanhoutteanum,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,2,1,0,0,1,0,0,77,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0
Northea hornei,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Paragenipa lancifolia,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pittosporum senacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Psidium cattleianum,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychotria pervillei,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pyrostria bibracteata,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roscheria melanochaetes,6,8,21,5,0,0,0,0,0,0,0,0,3,0,0,44,0,2,3,2,0,28,5,3,0,0,0,1,6,2,7,14,5,0,0,0,2,1,0,0,7,3,3,1,0,0,1
Timonius flavescens,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
