"","db","query","order","family","genus"
"1","itis","Lepidanthrax","Diptera","Bombyliidae","Lepidanthrax"
"2","itis","Manduca","Lepidoptera","Sphingidae","Manduca"
"3","itis","Oxacis","Coleoptera","Oedemeridae","Oxacis"
"4","itis","Disclisioprocta","Lepidoptera","Geometridae","Disclisioprocta"
"5","itis","Monomorium","Hymenoptera","Formicidae","Monomorium"
"6","itis","Psedoplusia",NA,NA,NA
"7","itis","Tapinoma","Hymenoptera","Formicidae","Tapinoma"
"8","itis","Amblycerus","Coleoptera","Chrysomelidae","Amblycerus"
"9","itis","Ammophorus","Coleoptera","Tenebrionidae","Ammophorus"
"10","itis","Cardiocondyla","Hymenoptera","Formicidae","Cardiocondyla"
"11","itis","Cricket",NA,NA,NA
"12","itis","Darwinysius",NA,NA,NA
"13","itis","Enyo","Lepidoptera","Sphingidae","Enyo"
"14","itis","Frankliniella","Thysanoptera","Thripidae","Frankliniella"
"15","itis","Goniozus",NA,NA,NA
"16","itis","Heliothis","Lepidoptera","Noctuidae","Heliothis"
"17","itis","Hypasclera","Coleoptera","Oedemeridae","Hypasclera"
"18","itis","Melipotis","Lepidoptera","Erebidae","Melipotis"
"19","itis","Metacanthus","Hemiptera","Berytidae","Metacanthus"
"20","itis","Mythenteles","Diptera","Bombyliidae","Mythenteles"
"21","itis","Naucles","Coleoptera","Scraptiidae","Naucles"
"22","itis","Olcella","Diptera","Chloropidae","Olcella"
"23","itis","Orthoperus","Coleoptera","Corylophidae","Orthoperus"
"24","itis","Perepitragus",NA,NA,NA
"25","itis","Rhinacloa","Hemiptera","Miridae","Rhinacloa"
"26","itis","Tetramorium","Hymenoptera","Formicidae","Tetramorium"
"27","itis","Dasytidae",NA,"Dasytidae",NA
"28","itis","Mordella","Coleoptera","Mordellidae","Mordella"
"29","itis","Myrabilis",NA,NA,NA
"30","itis","Papilion",NA,NA,NA
"31","itis","Syrphidae","Diptera","Syrphidae",NA
"32","itis","Trichodes","Coleoptera","Cleridae","Trichodes"
